index,term,TF(log),TF,IDF,TF-IDF
0,absence,1.000000,1,7.522941,7.522941
1,acceptance,1.000000,1,5.913503,5.913503
2,afraid,1.000000,1,6.606650,6.606650
3,air,1.477121,3,4.527209,6.687236
4,allow,1.000000,1,5.731181,5.731181
5,ask,1.000000,1,6.424329,6.424329
6,attention,1.000000,1,5.325716,5.325716
7,awake,1.000000,1,6.606650,6.606650
8,balance,1.000000,1,5.913503,5.913503
9,beautiful,1.000000,1,6.018864,6.018864
10,beauty,1.000000,1,5.577031,5.577031
11,begin,1.301030,2,5.325716,6.928917
12,beneath,1.000000,1,5.508038,5.508038
13,birds,1.000000,1,5.913503,5.913503
14,bother,1.000000,1,7.117476,7.117476
15,branch,1.301030,2,6.136647,7.983961
16,break,1.000000,1,6.270178,6.270178
17,breathe,1.000000,1,6.018864,6.018864
18,bright,1.000000,1,6.829794,6.829794
19,brush,1.000000,1,6.270178,6.270178
20,busy,1.000000,1,6.018864,6.018864
21,calm,1.301030,2,5.508038,7.166123
22,care,1.000000,1,5.818193,5.818193
23,careful,1.000000,1,6.829794,6.829794
24,carry,1.477121,3,4.957992,7.323555
25,catch,1.000000,1,6.136647,6.136647
26,change,1.301030,2,5.818193,7.569643
27,circles,1.000000,1,7.117476,7.117476
28,clean,1.000000,1,7.117476,7.117476
29,close,1.000000,1,5.818193,5.818193
30,colored,1.000000,1,6.829794,6.829794
31,connect,1.000000,1,6.424329,6.424329
32,coolness,1.000000,1,7.522941,7.522941
33,cross,1.000000,1,7.117476,7.117476
34,currents,1.000000,1,6.018864,6.018864
35,daily,1.000000,1,6.136647,6.136647
36,darted,1.000000,1,6.829794,6.829794
37,day,1.477121,3,4.957992,7.323555
38,deeper,1.000000,1,6.270178,6.270178
39,demand,1.301030,2,5.271649,6.858574
40,details,1.000000,1,5.651139,5.651139
41,differently,1.000000,1,7.117476,7.117476
42,dirt,1.000000,1,5.913503,5.913503
43,disappear,1.000000,1,6.136647,6.136647
44,dragonfly,1.301030,2,5.443499,7.082156
45,draw,1.000000,1,6.270178,6.270178
46,earth,1.000000,1,5.731181,5.731181
47,edge,1.000000,1,5.508038,5.508038
48,emptiness,1.000000,1,6.270178,6.270178
49,end,1.000000,1,6.018864,6.018864
50,eventually,1.000000,1,5.913503,5.913503
51,fade,1.000000,1,6.136647,6.136647
52,fail,1.000000,1,7.522941,7.522941
53,familiar,1.000000,1,6.270178,6.270178
54,feel,1.845098,7,4.011395,7.401418
55,field,1.301030,2,5.818193,7.569643
56,find,1.000000,1,6.018864,6.018864
57,fish,1.301030,2,5.220356,6.791840
58,forest,1.000000,1,6.829794,6.829794
59,freshly,1.000000,1,8.216088,8.216088
60,full,1.000000,1,5.913503,5.913503
61,gentle,1.000000,1,6.136647,6.136647
62,gentler,1.000000,1,6.270178,6.270178
