index,term,TF,IDF,TF-IDF
0,a,0.051366,0.000000,0.000000
1,aa,0.000013,1.871802,0.000024
2,aba,0.000045,1.871802,0.000084
3,abad,0.000006,1.871802,0.000012
4,abadejo,0.000013,1.871802,0.000024
5,abades,0.000006,1.871802,0.000012
6,abadesa,0.000006,1.871802,0.000012
7,abajarse,0.000013,1.871802,0.000024
8,abajen,0.000006,1.871802,0.000012
9,abajo,0.000142,1.871802,0.000265
10,abala,0.000006,1.871802,0.000012
11,abalanza,0.000006,1.871802,0.000012
12,aban,0.000052,1.871802,0.000097
13,abandonarme,0.000006,1.871802,0.000012
14,abatanar,0.000006,1.871802,0.000012
15,abece,0.000019,1.871802,0.000036
16,abejas,0.000006,1.871802,0.000012
17,abencerraje,0.000006,1.871802,0.000012
18,abierta,0.000026,1.871802,0.000048
19,abiertas,0.000006,1.871802,0.000012
20,abierto,0.000045,1.871802,0.000084
21,abiertos,0.000032,1.871802,0.000060
22,abindarra,0.000019,1.871802,0.000036
23,abismo,0.000019,1.871802,0.000036
24,ablandaba,0.000006,1.871802,0.000012
25,ablande,0.000006,1.871802,0.000012
26,ablando,0.000006,1.871802,0.000012
27,able,0.000000,1.871802,0.000000
28,abollada,0.000006,1.871802,0.000012
29,abollado,0.000006,1.871802,0.000012
30,abomina,0.000006,1.871802,0.000012
31,aborrascadas,0.000006,1.871802,0.000012
32,aborrece,0.000019,1.871802,0.000036
33,aborreci,0.000006,1.871802,0.000012
34,aborrecida,0.000006,1.871802,0.000012
35,aborrecido,0.000019,1.871802,0.000036
36,aborrecimiento,0.000013,1.871802,0.000024
37,aborrecio,0.000006,1.871802,0.000012
38,aborrezco,0.000019,1.871802,0.000036
39,about,0.000000,0.080043,0.000000
40,above,0.000000,0.367725,0.000000
41,abra,0.000013,1.871802,0.000024
42,abrace,0.000006,1.871802,0.000012
43,abran,0.000019,1.871802,0.000036
44,abrasa,0.000006,1.871802,0.000012
45,abrasada,0.000006,1.871802,0.000012
46,abrasados,0.000013,1.871802,0.000024
47,abrasar,0.000006,1.871802,0.000012
48,abraso,0.000013,1.871802,0.000024
49,abraza,0.000052,1.871802,0.000097
50,abrazada,0.000032,1.871802,0.000060
51,abrazado,0.000026,1.871802,0.000048
52,abrazamiento,0.000006,1.871802,0.000012
53,abrazando,0.000013,1.871802,0.000024
54,abrazar,0.000058,1.871802,0.000109
55,abrazara,0.000013,1.871802,0.000024
56,abrazarle,0.000006,1.871802,0.000012
57,abrazaron,0.000006,1.871802,0.000012
58,abrazarse,0.000006,1.871802,0.000012
59,abrazase,0.000006,1.871802,0.000012
60,abrazo,0.000064,1.871802,0.000121
61,abrazos,0.000006,1.871802,0.000012
62,abre,0.000013,1.871802,0.000024
63,abreviar,0.000013,1.871802,0.000024
64,abrevio,0.000006,1.871802,0.000012
65,abri,0.000019,1.871802,0.000036
66,abrid,0.000006,1.871802,0.000012
67,abrie,0.000026,1.871802,0.000048
68,abriendo,0.000058,1.871802,0.000109
69,abriera,0.000013,1.871802,0.000024
70,abriese,0.000006,1.871802,0.000012
71,abrigo,0.000006,1.871802,0.000012
72,abrila,0.000006,1.871802,0.000012
73,abrio,0.000097,1.871802,0.000181
74,abrir,0.000039,1.871802,0.000072
75,abrira,0.000006,1.871802,0.000012
76,abriri,0.000006,1.871802,0.000012
77,abrirla,0.000006,1.871802,0.000012
78,abrirle,0.000006,1.871802,0.000012
79,abrirse,0.000013,1.871802,0.000024
80,abroad,0.000000,1.871802,0.000000
81,abrumado,0.000006,1.871802,0.000012
82,absence,0.000000,1.466337,0.000000
83,absoluta,0.000006,1.871802,0.000012
84,absolutamente,0.000006,1.871802,0.000012
85,absorto,0.000019,1.871802,0.000036
86,abstengas,0.000006,1.871802,0.000012
87,absuelve,0.000006,1.871802,0.000012
88,absurdos,0.000006,1.871802,0.000012
89,abundancia,0.000039,1.871802,0.000072
90,abundante,0.000006,1.871802,0.000012
91,abundantes,0.000006,1.871802,0.000012
92,abundanti,0.000006,1.871802,0.000012
93,abundoso,0.000006,1.871802,0.000012
94,abusos,0.000006,1.871802,0.000012
95,aca,0.000161,1.871802,0.000302
96,acaba,0.000129,1.871802,0.000241
97,acababa,0.000052,1.871802,0.000097
98,acabada,0.000058,1.871802,0.000109
99,acabadas,0.000013,1.871802,0.000024
100,acabadme,0.000006,1.871802,0.000012
101,acabado,0.000116,1.871802,0.000217
102,acaballa,0.000006,1.871802,0.000012
103,acaballe,0.000006,1.871802,0.000012
104,acabamiento,0.000006,1.871802,0.000012
105,acabamos,0.000013,1.871802,0.000024
106,acabando,0.000039,1.871802,0.000072
107,acabar,0.000219,1.871802,0.000410
108,acabara,0.000052,1.871802,0.000097
109,acabare,0.000013,1.871802,0.000024
110,acabaremos,0.000006,1.871802,0.000012
111,acabarle,0.000006,1.871802,0.000012
112,acabaron,0.000052,1.871802,0.000097
113,acabarse,0.000013,1.871802,0.000024
114,acabas,0.000013,1.871802,0.000024
115,acabase,0.000052,1.871802,0.000097
116,acabasen,0.000026,1.871802,0.000048
117,acabaste,0.000013,1.871802,0.000024
118,acabe,0.000045,1.871802,0.000084
119,acaben,0.000006,1.871802,0.000012
120,acabo,0.000232,1.871802,0.000434
121,acade,0.000052,1.871802,0.000097
122,acaece,0.000006,1.871802,0.000012
123,acaecen,0.000006,1.871802,0.000012
124,acaecido,0.000006,1.871802,0.000012
125,acaecimiento,0.000006,1.871802,0.000012
126,acaecimientos,0.000026,1.871802,0.000048
127,acaecio,0.000019,1.871802,0.000036
128,acardenalado,0.000006,1.871802,0.000012
129,acariciaba,0.000013,1.871802,0.000024
130,acariciar,0.000019,1.871802,0.000036
131,acarrean,0.000006,1.871802,0.000012
132,acaso,0.000206,1.871802,0.000386
133,acatamiento,0.000006,1.871802,0.000012
134,acceptance,0.000000,0.167054,0.000000
135,accepted,0.000000,1.871802,0.000000
136,accidente,0.000064,1.871802,0.000121
137,accidentes,0.000019,1.871802,0.000036
138,accio,0.000006,1.871802,0.000012
139,acciones,0.000032,1.871802,0.000060
140,according,0.000000,1.871802,0.000000
141,accordingly,0.000000,1.871802,0.000000
142,ace,0.000045,1.871802,0.000084
143,acebo,0.000006,1.871802,0.000012
144,acedaba,0.000006,1.871802,0.000012
145,aceite,0.000032,1.871802,0.000060
146,aceitera,0.000006,1.871802,0.000012
147,acelerando,0.000006,1.871802,0.000012
148,acento,0.000013,1.871802,0.000024
149,acentos,0.000019,1.871802,0.000036
150,acerca,0.000090,1.871802,0.000169
151,acercado,0.000006,1.871802,0.000012
152,acercando,0.000006,1.871802,0.000012
153,acero,0.000013,1.871802,0.000024
154,acerta,0.000013,1.871802,0.000024
155,acertaban,0.000006,1.871802,0.000012
156,acertada,0.000026,1.871802,0.000048
157,acertadas,0.000006,1.871802,0.000012
158,acertado,0.000077,1.871802,0.000145
159,acertados,0.000006,1.871802,0.000012
160,acertar,0.000045,1.871802,0.000084
161,acertara,0.000026,1.871802,0.000048
162,acertare,0.000032,1.871802,0.000060
163,acertares,0.000006,1.871802,0.000012
164,acertaron,0.000013,1.871802,0.000024
165,acertasen,0.000006,1.871802,0.000012
166,acerte,0.000006,1.871802,0.000012
