,document-01.txt,document-02.txt,document-03.txt,document-04.txt,document-05.txt,document-06.txt,document-07.txt,document-08.txt,document-09.txt,document-10.txt
document-01.txt,1.0000,0.6599,0.6329,0.6618,0.7025,0.6957,0.6519,0.6498,0.6798,0.6934
document-02.txt,0.6599,1.0000,0.6618,0.6718,0.7186,0.7445,0.6712,0.6726,0.6715,0.6503
document-03.txt,0.6329,0.6618,1.0000,0.6575,0.7184,0.7562,0.6854,0.6975,0.7137,0.6854
document-04.txt,0.6618,0.6718,0.6575,1.0000,0.7733,0.7411,0.6866,0.7028,0.6859,0.6605
document-05.txt,0.7025,0.7186,0.7184,0.7733,1.0000,0.7618,0.7244,0.7373,0.7907,0.7319
document-06.txt,0.6957,0.7445,0.7562,0.7411,0.7618,1.0000,0.7458,0.7263,0.7421,0.7239
document-07.txt,0.6519,0.6712,0.6854,0.6866,0.7244,0.7458,1.0000,0.6843,0.7231,0.6897
document-08.txt,0.6498,0.6726,0.6975,0.7028,0.7373,0.7263,0.6843,1.0000,0.7065,0.6810
document-09.txt,0.6798,0.6715,0.7137,0.6859,0.7907,0.7421,0.7231,0.7065,1.0000,0.7681
document-10.txt,0.6934,0.6503,0.6854,0.6605,0.7319,0.7239,0.6897,0.6810,0.7681,1.0000
