index,term,TF,IDF,TF-IDF
0,a,2.176091,2.864546,6.233515
1,air,1.301030,4.903714,6.379879
2,breathe,1.301030,5.545568,7.214950
3,buildings,1.301030,6.461859,8.407072
4,carry,1.301030,4.957781,6.450222
5,city,1.698970,4.903714,8.331263
6,cold,1.301030,6.056394,7.879550
7,dark,1.301030,5.768712,7.505267
8,day,1.477121,5.283204,7.803933
9,echo,1.301030,5.902243,7.678995
10,elevator,1.301030,7.155006,9.308877
11,empty,1.477121,5.650929,8.347107
12,faint,1.477121,5.450258,8.050692
13,fall,1.301030,5.450258,7.090949
14,feel,1.602060,4.210567,6.745581
15,floor,1.301030,7.155006,9.308877
16,footsteps,1.301030,6.749541,8.781355
17,glass,1.301030,6.056394,7.879550
18,glowing,1.301030,6.238715,8.116756
19,hall,1.301030,7.155006,9.308877
20,leave,1.778151,4.803631,8.541582
21,life,1.477121,5.450258,8.050692
22,light,1.845098,4.321793,7.974131
23,look,1.698970,5.075564,8.623232
24,moment,1.477121,5.545568,8.191476
25,move,1.301030,4.957781,6.450222
26,office,1.301030,7.155006,9.308877
27,open,1.301030,5.209096,6.777190
28,pulsing,1.301030,7.155006,9.308877
29,quiet,1.301030,5.283204,6.873607
30,reflection,1.301030,6.238715,8.116756
31,rhythm,1.301030,5.363246,6.977744
32,room,1.301030,7.155006,9.308877
33,rush,1.301030,6.461859,8.407072
34,shift,1.301030,6.056394,7.879550
35,silent,1.301030,6.461859,8.407072
36,sound,1.477121,4.712659,6.961169
37,stand,1.301030,5.283204,6.873607
38,stay,1.301030,5.363246,6.977744
39,strange,1.301030,5.650929,7.352027
40,think,1.477121,4.852421,7.167614
41,time,1.301030,4.757111,6.189144
42,wait,1.301030,6.238715,8.116756
43,walls,1.477121,6.461859,9.544949
44,window,1.477121,5.902243,8.718328
45,work,1.301030,6.749541,8.781355
46,write,1.301030,5.209096,6.777190
