,doc-01.txt,doc-02.txt,doc-03.txt,doc-04.txt,doc-05.txt,doc-06.txt,doc-07.txt,doc-08.txt,doc-09.txt,doc-10.txt
doc-01.txt,1.0000,0.4043,0.4387,0.3854,0.2578,0.2682,0.3212,0.2309,0.1876,0.3944
doc-02.txt,0.4043,1.0000,0.4821,0.4448,0.2618,0.2804,0.3681,0.2275,0.2544,0.2578
doc-03.txt,0.4387,0.4821,1.0000,0.4282,0.2621,0.3785,0.3713,0.1931,0.2555,0.3218
doc-04.txt,0.3854,0.4448,0.4282,1.0000,0.2711,0.3154,0.3439,0.2454,0.2584,0.3310
doc-05.txt,0.2578,0.2618,0.2621,0.2711,1.0000,0.3809,0.3498,0.2757,0.2469,0.2895
doc-06.txt,0.2682,0.2804,0.3785,0.3154,0.3809,1.0000,0.3847,0.2238,0.2147,0.2474
doc-07.txt,0.3212,0.3681,0.3713,0.3439,0.3498,0.3847,1.0000,0.3049,0.2410,0.2920
doc-08.txt,0.2309,0.2275,0.1931,0.2454,0.2757,0.2238,0.3049,1.0000,0.2464,0.2870
doc-09.txt,0.1876,0.2544,0.2555,0.2584,0.2469,0.2147,0.2410,0.2464,1.0000,0.3012
doc-10.txt,0.3944,0.2578,0.3218,0.3310,0.2895,0.2474,0.2920,0.2870,0.3012,1.0000
